i.id;oa.id;i.name;oa.name;i.geo;oa.geo;dist (m);matching_name
642;https://openalex.org/I148297040;Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek;Netherlands Organisation for Applied Scientific Research;52.0298676, 4.3360472;52.00667, 4.35556;2905.0;True
643;https://openalex.org/I121748325;UNIVERSIDAD COMPLUTENSE DE MADRID;Universidad Complutense de Madrid;40.4438117, -3.7271333;40.4165, -3.70256;3681.0;True
645;https://openalex.org/I4210133995;Christie Hospital NHS Trust;The Christie NHS Foundation Trust;53.4312242, -2.2287035;53.48095, -2.23743;5559.0;False
647;https://openalex.org/I2801843802;INSTITUT GUSTAVE ROUSSY;Institut Gustave Roussy;;48.7939, 2.35992;;True
648;https://openalex.org/I80043;Institut Curie;Institut Curie;48.697161, 2.189617;48.85341, 2.3488;20927.0;True
649;https://openalex.org/I165862685;ST GEORGE'S HOSPITAL MEDICAL SCHOOL;St George's, University of London;51.4278088, -0.1758183;51.50853, -0.12574;9623.0;True
652;https://openalex.org/I3018370718;Institute of Food Research;Quadram Institute;51.4441092, -0.936896;52.62783, 1.29834;201732.0;True
655;https://openalex.org/I4407990165;UNIVERSITE VICTOR SEGALEN - BORDEAUX II;Université Bordeaux Segalen;44.8268418, -0.5968126;44.84044, -0.5805;1985.0;False
656;https://openalex.org/I4210155372;GESELLSCHAFT ZUR FÖRDERUNG ANGEWANDTER INFORMATIK;Gesellschaft zur Förderung angewandter Informatik;52.5123444, 13.4014335;52.52437, 13.41053;1472.0;True
662;https://openalex.org/I21370196;ARISTOTLE UNIVERSITY OF THESSALONIKI;Aristotle University of Thessaloniki;;40.64361, 22.93086;;True
663;https://openalex.org/I62916508;TECHNICAL UNIVERSITY OR CRETE;Technical University of Munich;;48.13743, 11.57549;;False
667;https://openalex.org/I4210148179;LAMBRAKIS RESEARCH FOUNDATION;Lambrakis Research Foundation;37.9789653, 23.7325074;37.98376, 23.72784;672.0;True
669;https://openalex.org/I86100027;INTRACOM;Intracom Telecom (Greece);;37.95527, 23.85443;;False
670;https://openalex.org/I174458059;Technical University Athens;National Technical University of Athens;37.9878639, 23.7316139;37.98376, 23.72784;564.0;False
675;https://openalex.org/I918821925;Junta de Andalucía;Junta de Andalucía;37.3779937, -6.0016322;37.38283, -5.97317;2572.0;True
677;https://openalex.org/I4210162667;University of Wales Cardiff;University of Wales Institute Cardiff;51.48158100000001, -3.17909;1.28967, 103.85007;11061820.0;False
679;https://openalex.org/I68522396;VITO;Flemish Institute for Technological Research;51.2208152, 5.0951047;51.19188, 5.11662;3549.0;False
681;https://openalex.org/I204337017;Aarhus University;Aarhus University;;56.15674, 10.21076;;True
684;https://openalex.org/I71999127;Universidad de Barcelona;Universitat de Barcelona;41.38495, 2.1151587;41.38879, 2.15899;3681.0;True
